,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,2021-12-23 12:00:00,0.1773,0.1752,0.1756,9247792.92,1633539.76,0.1764,direct,
1,2021-12-23 13:00:00,0.1779,0.1764,0.1764,6310294.05,1118300.86,0.1771,direct,
2,2021-12-23 14:00:00,0.1774,0.1757,0.1771,6428214.96,1134577.36,0.1764,direct,
3,2021-12-23 15:00:00,0.1777,0.1763,0.1764,8064412.15,1427506.12,0.1768,direct,
4,2021-12-23 16:00:00,0.1788,0.1759,0.1768,12220874.51,2166635.69,0.1781,direct,
5,2021-12-23 17:00:00,0.1828,0.1777,0.1781,26665926.43,4802282.7,0.1817,direct,
6,2021-12-23 18:00:00,0.1842,0.1809,0.1817,44331975.22,8116415.13,0.1825,direct,
7,2021-12-23 19:00:00,0.1847,0.1819,0.1825,17987669.99,3296392.22,0.1833,direct,
8,2021-12-23 20:00:00,0.1835,0.1813,0.1833,8980809.72,1636878.32,0.1818,direct,
9,2021-12-23 21:00:00,0.1823,0.1812,0.1818,5253160.03,954666.97,0.1821,direct,
10,2021-12-23 22:00:00,0.1834,0.1818,0.1821,4333024.05,790753.14,0.1827,direct,
11,2021-12-23 23:00:00,0.1849,0.182,0.1827,10985239.3,2012901.4,0.1849,direct,
12,2021-12-24 00:00:00,0.1854,0.1825,0.1849,16595806.11,3054531.63,0.1843,direct,
13,2021-12-24 01:00:00,0.1849,0.1831,0.1843,16848403.98,3098214.95,0.1836,direct,
14,2021-12-24 02:00:00,0.1842,0.1832,0.1836,9836513.39,1807431.62,0.1836,direct,
15,2021-12-24 03:00:00,0.1837,0.1825,0.1836,7355264.06,1346999.77,0.183,direct,
16,2021-12-24 04:00:00,0.1831,0.1821,0.183,5600508.58,1021868.73,0.1825,direct,
17,2021-12-24 05:00:00,0.1825,0.1804,0.1825,8017354.72,1453279.51,0.1813,direct,
18,2021-12-24 06:00:00,0.1814,0.1794,0.1813,10903450.1,1968709.18,0.1813,direct,
19,2021-12-24 07:00:00,0.1815,0.1807,0.1813,9915766.19,1793991.73,0.1814,direct,
20,2021-12-24 08:00:00,0.1833,0.1812,0.1814,9822158.6,1792328.23,0.1821,direct,
21,2021-12-24 09:00:00,0.183,0.1817,0.1821,5396485.94,985007.08,0.183,direct,
22,2021-12-24 10:00:00,0.1857,0.1825,0.183,13768165.41,2535890.76,0.1841,direct,
23,2021-12-24 11:00:00,0.185,0.1834,0.1841,9791120.54,1803686.34,0.1837,direct,
24,2021-12-24 12:00:00,0.189,0.1822,0.1837,35609661.34,6624879.96,0.1871,direct,
25,2021-12-24 13:00:00,0.1878,0.1855,0.1871,16807581.1,3133417.32,0.187,direct,
26,2021-12-24 14:00:00,0.1907,0.1868,0.187,28519454.9,5391629.41,0.187,direct,
27,2021-12-24 15:00:00,0.1878,0.1826,0.187,26318902.39,4874135.81,0.1873,direct,
28,2021-12-24 16:00:00,0.1909,0.187,0.1873,26210030.0,4959718.54,0.1898,direct,
29,2021-12-24 17:00:00,0.1955,0.1877,0.1898,38763096.73,7421768.98,0.1924,direct,
